datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-08-05,-0.49139598,-0.6273129,-0.7069083,-0.58542824,-0.36443794,-0.09921931,0.18919797,0.21932869,0.13538775,0.09924875,0.09539917,-0.016111797,-0.049492996,-0.17402393,-0.1669101,-0.0035828422,0.21885458,0.3886885,0.2784096,0.16271554,0.12537996,-0.05539249,-0.26922986,-0.4397268
2015-08-06,-0.54362035,-0.696249,-0.7510375,-0.5935824,-0.30389822,-0.022500435,0.19994625,0.1991656,0.12958932,0.13947615,0.12491879,0.037550014,-0.007670915,-0.14304438,-0.12258741,0.03421628,0.23079953,0.43300918,0.33670658,0.23282583,0.19068043,0.0072862855,-0.24838725,-0.4196374
2015-08-07,-0.50564647,-0.6267808,-0.67847335,-0.55230975,-0.3141649,-0.04438658,0.16005349,0.20983104,0.1301114,0.11599923,0.1009822,-0.0033447319,-0.056400146,-0.18150176,-0.16322546,-0.010225744,0.17675129,0.35769913,0.27057382,0.15888892,0.15150766,-0.03300079,-0.2615455,-0.45587224
2015-08-08,-0.41728503,-0.5674689,-0.5962059,-0.549386,-0.42634815,-0.2726896,-0.08235548,-0.040513586,-0.10366847,-0.09577971,-0.12280044,-0.22347282,-0.24771321,-0.3481922,-0.3052712,-0.20583732,-0.0323595,0.10494904,0.06434279,-0.03738999,0.016650628,-0.110068366,-0.26481986,-0.42967433
2015-08-09,-0.41476452,-0.5913028,-0.65052176,-0.61853516,-0.5183357,-0.43180728,-0.28252372,-0.20125186,-0.21099056,-0.17213015,-0.16205674,-0.24024436,-0.27450028,-0.38494658,-0.34062323,-0.20490079,0.0027132307,0.18220207,0.1576463,0.096765645,0.14185779,0.0091863675,-0.14538938,-0.34436643
2015-08-10,-0.5056945,-0.65491855,-0.7129035,-0.6216538,-0.44659972,-0.23908257,0.035742547,0.16467161,0.17736726,0.17655136,0.14601097,0.049309243,0.045468446,-0.07833209,-0.073618785,-0.024386182,0.15625317,0.25818807,0.200072,0.03731682,0.0626242,-0.08038927,-0.21495995,-0.32413748
2015-08-11,-0.5181581,-0.64369845,-0.6972137,-0.59698725,-0.34689566,-0.078647226,0.10413754,0.23969431,0.25600868,0.27354166,0.23131385,0.14938104,0.10651008,-0.03141417,-0.08260948,-0.0042411503,0.14158204,0.30391484,0.23680001,0.091295354,0.1497983,-0.014906181,-0.22521529,-0.39096734
2015-08-12,-0.4453898,-0.5430315,-0.64307594,-0.5839921,-0.44598958,-0.25772107,-0.04042677,0.13537453,0.16085815,0.1690487,0.15577656,0.045973707,0.055371884,-0.08149514,-0.095205694,0.0039500836,0.1758544,0.3379934,0.29024416,0.084776305,0.10908875,-0.04058933,-0.21558411,-0.36683366
2015-08-13,-0.5545889,-0.68421495,-0.73799515,-0.63720703,-0.36144277,-0.14189334,0.057211455,0.1041533,0.14364384,0.20880248,0.1309985,0.041376982,-0.0004921555,-0.1432491,-0.14530958,-0.0792404,0.10106938,0.26761317,0.20595746,0.018901138,0.029523328,-0.06919549,-0.28145185,-0.4365367
2015-08-14,-0.5772182,-0.75465274,-0.7710203,-0.6409373,-0.37270126,-0.17416927,0.018473268,0.02447788,0.026141543,0.10143048,0.08579462,-0.006613866,-0.02118284,-0.100137785,-0.08849429,0.002191026,0.102219015,0.22765134,0.14192575,0.080691084,0.20583946,0.042302635,-0.22164379,-0.404542
2015-08-15,-0.47514755,-0.64413154,-0.66761357,-0.6244739,-0.48682728,-0.3528031,-0.18645708,-0.09845001,-0.06690307,-0.029761635,-0.057522874,-0.15496634,-0.18104,-0.26986384,-0.26855966,-0.2209676,-0.07038271,0.017346896,0.035484295,-0.045930024,0.071252055,-0.048844032,-0.1692205,-0.3474381
2015-08-16,-0.40797162,-0.55920005,-0.5947728,-0.6192255,-0.5237812,-0.4269953,-0.31548035,-0.16613136,-0.06274041,-0.031373423,-0.06580114,-0.13507599,-0.19578148,-0.31831127,-0.35892075,-0.35428068,-0.2190621,-0.08798665,-0.028415658,-0.15190412,-0.026994165,-0.063053936,-0.1696814,-0.3415672
2015-08-17,-0.54990244,-0.6767318,-0.7596242,-0.65107155,-0.37098452,-0.03656414,0.23423654,0.382399,0.41789517,0.3844576,0.38254586,0.27144393,0.22920018,0.077985354,-0.021709917,0.04948603,0.22784743,0.39892384,0.308247,0.09276885,0.10225941,-0.020736016,-0.3118825,-0.4413676
